query,rank,doc_text
What is the evidence from RCTs for spinal cord stimulation in failed back surgery syndrome?,1,"Spinal cord stimulation is utilized in the management of a variety of pain states. Commonly, implanted stimulator systems lose their efficacy, resulting in explantation of the devices. Strategies beyond repositioning the leads have evolved in recent years. Replacing generators to deliver a new electrical signaling is known as ""salvage"" or ""rescue"" therapy. To assess the impact of testing multiple pulse generator systems during a salvage trial on clinical outcomes and cost-effectiveness in patients with failed primary SCS devices. Retrospective chart review. An academic health care institution. We retrospectively reviewed the charts of patients who were treated from 2016 to 2019, had previously been implanted with spinal cord stimulation (SCS) systems, and had subsequently undergone a salvage trial in the operating room. In all cases, the original SCS generator was explanted while the existing epidural lead array was preserved and connected to percutaneous extension leads. Those leads were externalized and attached to an alternative stimulation system. Patients underwent a one-week externalized trial with individualized parameter optimization. They then returned to the operating room for either permanent implantation or system removal. Data on changes in visual analog scale (VAS) scores, percent coverage, potential morphine equivalent daily dose (PMEDD), and trial outcomes were collected. We reviewed 20 serially treated patients who had been previously implanted with SCS systems and subsequently undergone a salvage trial in the operating room. The present investigation found, in a subgroup analysis of patients, that gender may play a role in the complexity of waveform selection. Average age was slightly higher in the multiple trial group (55.4 years versus 49.6 years), and both groups had comparable BMI values (32.6 versus 32.16). Patients in the multiple-trial group tended to proceed to salvage therapy sooner (3.5 years versus 4.9 years, P < 0.001). In summary, proprietary electrical signaling platform cycling seems to be an effective strategy for SCS salvage. Pre-trialing may improve implantation outcomes, and larger studies are warranted to develop best practice strategies for these chronic pain patients. Limitations include a small sample size, variability in follow-up timing, inconsistent reporting of clinical data, and the absence of standardized functional and quality-of-life outcome measures. Emerging stimulation paradigms such as burst and high-frequency stimulation present promising alternatives for patients with ineffective SCS systems. In cases wherein the existing device cannot support these modalities, an IPG externalization trial may serve as a low-risk strategy to potentially rescue and optimize therapy."
What is the evidence from RCTs for spinal cord stimulation in failed back surgery syndrome?,2,"Spinal cord stimulation (SCS) is a surgical technique for chronic pain involving the placement of percutaneous, or paddle leads into the spinal epidural for pain treatment. Paddle lead SCS is a more invasive procedure due to the requirement of bone removal (laminotomy/laminectomy) and may therefore be less commonly offered to older patients. A retrospective review was conducted of a database of all paddle lead spinal cord stimulators implanted from January 1st, 2019, to July 1st, 2024, by a single surgeon. Octogenarian patients were identified within this cohort and their data analyzed, including demographics and treatment history. Postoperative pain was subjectively measured during follow-up visits. Descriptive statistics were compiled, and a one-way analysis of variance test was used to measure the mean postoperative pain levels. Fifty-one patients were included in our cohort with a median age of 83 (interquartile range 81-85). Over one-half (n = 27, 53%) of patients had concurrent back and leg pain. There was no statistically significant differences in regard to location of presenting pain and improvement of pain. Moreover, there was no statistically significant difference in trial improvement with postoperative pain outcomes in our cohort. Two (4%) patients suffered postoperative infections, and two (4%) had device removal. There were no neurologic deficits nor mortality. Paddle lead SCS may be performed safely in octogenarians with no obvious increase in complications or less efficacy and should not be precluded in these patients with chronic pain and may have a favorable risk/benefit profile compared to more invasive spinal surgeries."
What is the evidence from RCTs for spinal cord stimulation in failed back surgery syndrome?,3,"The gate control theory of pain was the starting point of the development of spinal cord stimulation (SCS). We describe the indications for the treatment in pain management and other uses not related to pain. There are currently several paradigms for SCS: tonic, burst, and high frequency. The main difference lies in the presence of paraesthesias. SCS is most beneficial for treating neuropathic pain. Patients with failed back surgery syndrome show the best response rates, although a considerable reduction in pain is also observed in patients with complex regional pain syndrome, diabetic neuropathy, radiculopathy, and low back pain without previous surgery. Phantom pain or pain related to cardiovascular or peripheral vascular disease may improve, although there is a lack of robust evidence supporting generalisation of its use. SCS also improves cancer-related pain, although research on this issue is scarce. Non-pain-related indications for SCS are movement disorders, spasticity, and sequelae of spinal cord injury. The main limiting factors for the use of SCS are mechanical complications and the cost of the treatment. In its 50-year history, SCS has progressed enormously. The perfection of hardware and software may improve its effectiveness and reduce the rate of complications. Indications for SCS could include other diseases, and its use could be expanded, if the costs of the technology are reduced."
What is the evidence from RCTs for spinal cord stimulation in failed back surgery syndrome?,4,"The aim of this study was to evaluate the effectiveness and safety of a novel subperception spinal cord stimulation (SCS) waveform paradigm designed to target the dorsal horn dendrites for treating chronic neuropathic low back pain (LBP). The final 12-month results are reported here. Twenty-seven participants were implanted with a commercial SCS system. Devices were programmed to deliver the waveform (frequency 100 Hz, pulse width 1000 μsec, T9-T10 disk bipole) at decreasing stimulation perception threshold amplitudes (80%, 60%, then 40%) over a 14-week period. Participants were blinded to the program settings. Participants then received their preferred program for further evaluation at 26 and 52 weeks after activation. Outcome measures included back pain score (visual analogue scale [VAS]), Brief Pain Inventory (BPI), EuroQol 5-Dimension 5-Level (EQ-5D-5L), 36-Item Short Form Health Survey (SF-36), treatment satisfaction, and clinician global impression of change (CGIC). At 52 weeks (n = 24), the responder rate (≥50% pain relief) was 65.6%, and the high-responder rate (≥80% pain relief) was 56.5%. The mean change from baseline in pain VAS was -43.94 mm (95% CI -57.89, -30.00; p < 0.001) and mean pain relief was 64.69% ± 39.43%. BPI and SF-36 scores remained significantly improved (p ≤ 0.001). EQ-5D-5L index and EuroQoL-VAS further improved, and 87.0% of participants met the minimum clinically important difference for the EQ-5D-5L index. Treatment satisfaction was 83%, and 91% of participants had a CGIC rating of ""much improved"" or above. No serious study-related adverse events were reported. The 12-month trial results show sustained improvements in pain, quality of life, and health-related outcomes. This novel subperception dorsal horn dendrite SCS approach seems a safe and promising treatment option for patients with chronic neuropathic LBP. The open-source availability of this waveform on commercial SCS platforms allows widespread patient access. Further evaluation seems warranted. The Clinicaltrials.gov registration number for the study is ACTRN12618000647235 (anzctr.org.au)."
What is the evidence from RCTs for spinal cord stimulation in failed back surgery syndrome?,5,"Chronic postsurgical pain (CPSP) can be caused by peripheral nerve injury (PNI) resulting from surgical procedures and has a significant neuropathic component. This prospective, single-arm study was conducted to document the effectiveness of 10-kHz spinal cord stimulation (10-kHz SCS) as a treatment for patients with CPSP. Subjects with CPSP who were refractory to conventional medical interventions and reported pain scores of ≥5 cm on a 10-cm VAS underwent trial stimulations lasting up to 14 days. Epidural leads were implanted at locations appropriate for the primary area of pain, and trials resulting in ≥40% pain relief were considered successful. Subjects with successful trials underwent implantation with a permanent 10-kHz SCS system and were followed for 12 months after implantation. Of the 34 subjects who underwent trial stimulation, 1 was withdrawn early and 29 (87.9%) had a successful trial and received a permanent implant. After 12 months of treatment, the mean VAS score decreased by 6.5 cm, the response rate was 88.0% (22/25), and 18 subjects (62.1%) were remitters with VAS scores sustained at ≤3.0 cm. Scores for all components of the short-form McGill Pain Questionnaire 2 were significantly reduced, including affective descriptors of pain. Pain catastrophizing and vigilance, patient function, physical and mental well-being, and sleep quality all improved over the course of the study. No neurologic deficits reported in the study. 10-kHz SCS is effective and tolerated in patients with CPSP, and further study of its clinical application in this population is warranted."
Does mirror therapy reduce phantom limb pain?,1,"Spinal manipulative therapy (SMT) has favorable, but small effects on pain intensity to treat chronic low back pain (CLBP). However, there is the potential for these effects to be enhanced by manipulating treatment expectations. Our objective was to investigate the effect of verbally delivered treatment expectations in association with SMT on pain intensity for individuals with CLBP. Our sample consisted of sixty participants who were randomly allocated to three groups in which verbally delivered expectations (positive [PEG], neutral [NEUG], and negative [NEG]) were administered by video before one session of SMT. Pain intensity (primary outcome), global perceived effect (GPE) of improvement, disability, participants' expectations, and empathy as secondary outcomes were assessed immediately post-treatment and pain intensity, GPE, and disability at the 3-month follow-up. Participants were interviewed about their perceptions regarding the videos. Pain intensity significantly decreased in the PEG and NEUG immediately after the SMT session (mean difference=MD), PEG - MD=-1.9 [95% CI -3.4 - -0.3] and NEUG - MD=-1.6 [95% CI -3.2 - -0.05], both when compared to the NEG. However, these findings weren't maintained at the 3-month follow-up. No significant changes in GPE and disability were observed between groups. Our findings suggest that positive and neutral verbally delivered treatment expectations resulted in short-term SMT hypoalgesia compared to negative expectations; however, these effects did not persist at 3-month follow-up. Such results suggest that both positive and neutral SMT-related expectations should be adopted when communicating the expected treatment effects to patients. CLINICAL TRIALS REGISTRATION NUMBER: NCT05996991, protocol registration: August 2023, study start date 1st October, 2023 PERSPECTIVE: Our findings showed that using positive or neutral verbally delivered expectations has the potential to enhance short-term hypoalgesia associated with SMT in CLBP."
Does mirror therapy reduce phantom limb pain?,2,"Chronic non-specific low back pain (CNSLBP) is prevalent among firefighters and may negatively affect their job performance. Alterations in the thoracolumbar fascia (TLF) structure are associated with CNSLBP. Percussive massage therapy (PT) has demonstrated potential in modifying fascial properties and alleviating pain. However, its effects on TLF structure in CNSLBP patients have not been thoroughly investigated. This study evaluates the effects of 6 weeks of PT on TLF echo intensity, thickness, pain, and disability in firefighters with CNSLBP, utilizing ultrasound imaging as a primary assessment tool. This six-week randomized controlled trial involved 38 firefighters with CNSLBP. Participants were randomly assigned 1:1 to either the PT group (receiving PT and core stability exercise) or the control group (receiving only core stability exercise). TLF echo intensity and thickness were measured using ultrasound imaging, and disability was assessed using the Roland-Morris Disability Questionnaire (RMQ) at baseline and post-intervention. Pain was measured using the Visual Analog Scale (VAS) at baseline, immediately after the first intervention, three weeks post-intervention, and post-intervention. Paired t-tests were conducted to analyze within-group changes in RMQ and ultrasound data, while ANCOVA was used to assess between-group differences, and repeated measures ANOVA for VAS scores. Participants in the PT and control groups were aged 26.6±4.1 and 23.6±1.7 years, respectively, with BMI of 23.1±1.8 and 21.8±1.2 kg/m². The PT group showed significant reductions in bilateral TLF echo intensity post-intervention (left side: mean difference -6.4, 95% CI -9.7 to -3.1, p < 0.001, effect size 0.67; right side: mean difference  -7.6, 95% CI -11.8 to -3.3, p < 0.01, effect size 0.60). Changes in TLF thickness were not statistically significant (p > 0.05). The PT group demonstrated significantly lower VAS scores than the control group (mean difference - 0.626, 95% CI -1.087 to -0.165, p = 0.009, effect size 0.63). RMQ scores decreased by -1.3 (95% CI -2.1 to -0.4, p < 0.01, effect size 0.5). Six weeks of percussive massage therapy significantly reduced thoracolumbar fascia echo intensity, alleviated pain, and improved functional disability in firefighters with chronic non-specific low back pain, but was not effective in altering fascia thickness. Percussive massage therapy emerges as an effective and safe strategy for managing chronic non-specific low back pain in firefighters. Retrospectively registered in Thai Clinical Trials Registry (TCTR20221223001) on December 22, 2022."
Does mirror therapy reduce phantom limb pain?,3,"There is growing acceptance for combining complementary and integrative health (CIH) therapies with standard rehabilitative care (SRC) for chronic pain management, yet little evidence on the best sequence of therapies. We investigated whether starting with CIH therapies or SRC is more effective in reducing pain impact. Participants were 280 service members with predominantly (88%) musculoskeletal chronic pain referred to an interdisciplinary pain management center who were randomized to a twice weekly program of either CIH therapies (n = 140) or SRC (n = 140) for the 3-week first stage of treatment. The composition of a second 3-week treatment stage depended upon response to the first stage. The primary outcome measure was the impact score (range 8-50) from the NIH Task Force on Research Standards for Chronic Low-Back Pain. Outcomes were measured after 3 and 6 weeks of treatment and at 3- and 6-month follow-ups. Most participants were men (76.8%) and mean age was 34.7 years (SD 8.0). At end of stage 1, pain impact decreased significantly more in the CIH group (29.8 points [SD 7.2] at baseline to 26.3 points [SD 7.9], change of -3.3 points [95% confidence interval, -4.2 to -2.5]) than in the SRC group (30.8 [SD 7.6] to 29.4 [SD 7.8], change of -0.9 points [95% confidence interval, -1.8 to -0.1]; P < 0.001). No significant between-group differences were observed after 6 weeks of treatment nor at 3- or 6-month follow-ups. Complementary and integrative health therapies may provide earlier improvement in pain impact than SRC, but this difference is not sustained."
Does mirror therapy reduce phantom limb pain?,4,"Interventions for chronic low back pain (CLBP), such as pain neuroscience education (PNE), clinical hypnosis (CH), and osteopathic manipulative treatment (OMT), encounter barriers due to their subjective nature, which hinders their implementation in clinical practice. To evaluate the implementation effectiveness of association of PNE, CH and OMT on pain and disability in low back pain patients compared to PNE, CH, and sham therapy. 37 patients were randomized into two groups: G1 - PNE and CH associated with OMT (n = 19); and G2 - PNE and CH but associated with a simulated therapy (n = 18). All groups underwent four 50-min sessions (7-day intervals). Primary outcomes were pain intensity and disability. All patients were evaluated before treatment, after the last session and 4 weeks from the end of the procedures (follow-up). Linear mixed models with repeated-measures analysis and random effect models were used to assess between-group differences. A significant reduction in pain was observed at both time points and in both groups. The intra-group pain improvement effect was Very Large in both groups (OMT d = 4.80; SHAM d =2.18). However, the OMT group maintained significantly lower pain values at follow-up (p = 0.001). Furthermore, only the OMT group showed a Very Large perception of improvement (d= 1.67) at both points (p = 0.005). Regarding disability, both groups improved (Very large for OMT, d = 1.89), but a significantly higher number of OMT group reported minimal disability after treatment (p = 0.009). The protocol effectively improved pain, perception of improvement, and disability in patients treated with OMT, PNE, and CH, with PNE and CH also reducing pain and enhancing subjective perceptions."
Does mirror therapy reduce phantom limb pain?,5,"Telemedicine (TM) can overcome travel barriers in nonspecific neck pain (NNP), yet a comprehensive, physiatrist-supervised TM model has not been directly compared to standard in-clinic care. The aim of this study was to determine whether a video-based exercise and remote follow-up program is as effective as conventional follow-up in reducing pain and disability in NNP. This parallel-group randomized controlled trial (registered in ClinicalTrials.gov) included 68 adults (mean age = 40.52 years) with NNP who were randomly allocated 1:1 to the TM group (TG, n = 34) or control group (CG, n = 34). Both received identical exercises via prerecorded video (TG) or printed brochure (CG) to be performed for 3 months. TG visits were via video call; CG visits were in the clinic. Primary outcomes were pain measured by the visual analog scale (VAS) at baseline, day 15, month 1, and 3, and disability measured by the neck disability index (NDI) at baseline and month 3. Secondary outcomes were exercise adherence, patient satisfaction, and travel/time burden. Analyses followed the intention-to-treat principle using linear mixed models. Both groups achieved clinically important VAS reductions (TG: 6.56 to 3.02, CG: 6.44 to 2.96). The only between-group difference appeared at day 15, favoring CG (p = 0.038) and the group × time interaction was nonsignificant overall (p = 0.111). NDI improved similarly in both groups (p = 0.473). Adherence in TG and CG (67.90% and 71.21%, respectively) and satisfaction (4.25 and 4.42, respectively) were comparable. TG participants avoided a mean of 38.88 km/175.74 min of travel across 3 virtual visits. A structured TM program with remote physiatrist follow-up matches conventional outpatient care in managing NNP. Larger, long-term studies should define optimal support and assess cost effectiveness across diverse populations."
